date_elected,party,prev_held_office_democratic,prev_held_office_republican,previous_party_1,previous_party_2,was_vp_or_vp_runner
11/6/00,1,1,,1,0,0
11/8/04,1,0,,1,1,1
11/3/08,1,0,,1,1,0
11/5/12,0,0,,1,1,0
11/7/16,0,1,,0,1,0
11/2/20,1,0,,0,0,0
11/4/24,1,0,,1,0,1
11/6/28,1,0,,1,1,0
11/8/32,0,0,,1,1,1
11/3/36,0,1,,0,1,1
11/5/40,0,1,,0,0,1
11/7/44,0,1,,0,0,1
11/2/48,0,0,,0,0,1
11/4/52,1,0,,0,0,0
11/6/56,1,1,,1,0,0
11/8/60,0,0,,1,1,0
11/3/64,0,0,,0,1,1
11/5/68,1,0,,0,0,1
11/7/72,1,1,,1,0,1
11/2/76,0,0,,1,1,0
11/4/80,1,0,,0,1,0
11/6/84,1,1,,1,0,0
11/8/88,1,0,,1,1,1
11/3/92,0,0,,1,1,0
11/5/96,0,1,,0,1,0
11/7/00,1,0,,0,0,0
11/2/04,1,1,,1,0,0
11/4/08,0,0,,1,1,0
11/6/12,0,1,,0,1,0
11/8/16,1,0,,0,0,0